frame,time_seconds,tracker_id,class_name,confidence,x1,y1,x2,y2
97,3.88,0,car,0.6395,721.54,272.01,757.52,299.54
97,3.88,5,car,0.7532,829.79,338.42,888.67,383.96
98,3.92,5,car,0.8111,826.39,337.8,884.85,381.5
98,3.92,0,car,0.4912,720.86,270.69,755.45,297.35
99,3.96,5,car,0.8662,825.61,337.13,882.4,380.0
99,3.96,0,car,0.5897,719.93,269.53,754.39,297.26
100,4.0,5,car,0.8306,823.92,335.24,878.73,377.92
100,4.0,0,car,0.549,719.67,268.61,752.89,296.47
101,4.04,0,car,0.6002,716.63,267.6,752.08,295.97
101,4.04,5,car,0.7481,820.25,332.02,876.11,375.38
102,4.08,5,car,0.6935,818.21,330.99,873.07,374.15
102,4.08,0,car,0.5551,716.64,267.39,751.12,295.31
103,4.12,0,car,0.6408,714.59,267.26,749.65,295.3
103,4.12,5,car,0.4286,815.23,329.59,869.73,372.4
104,4.16,0,car,0.6219,713.94,266.96,747.1,294.53
104,4.16,5,car,0.6269,814.35,328.48,865.23,370.97
105,4.2,0,car,0.6887,713.42,265.87,745.81,293.53
105,4.2,5,car,0.7597,811.81,327.18,863.75,368.82
106,4.24,0,car,0.655,712.95,265.55,744.95,292.46
106,4.24,5,car,0.7754,807.55,325.1,861.3,366.89
107,4.28,0,car,0.6992,711.59,265.01,744.2,291.83
107,4.28,5,car,0.6734,807.01,322.69,857.41,364.0
108,4.32,0,car,0.6396,711.07,264.02,743.0,292.51
108,4.32,5,car,0.4802,806.32,322.44,854.49,363.55
109,4.36,0,car,0.5555,709.58,263.93,742.43,290.7
109,4.36,5,car,0.5843,804.6,321.67,850.92,360.96
110,4.4,0,car,0.7095,708.33,263.7,741.43,289.47
110,4.4,5,car,0.8316,798.87,321.0,847.9,359.41
111,4.44,0,car,0.7543,707.55,263.54,739.67,287.51
111,4.44,5,car,0.8006,797.92,319.6,847.26,358.8
112,4.48,5,car,0.8057,793.51,316.38,845.11,356.33
112,4.48,0,car,0.5933,705.75,262.76,737.86,287.39
113,4.52,5,car,0.7667,793.37,315.84,842.63,354.82
113,4.52,0,car,0.5378,705.21,261.81,736.84,286.66
114,4.56,0,car,0.5427,704.13,261.2,736.09,285.91
114,4.56,5,car,0.5598,791.32,314.8,840.77,353.68
115,4.6,0,car,0.5877,704.03,261.17,735.61,285.56
115,4.6,5,car,0.5599,789.51,313.04,837.61,352.05
116,4.64,0,car,0.61,703.17,259.98,735.12,285.34
116,4.64,5,car,0.4722,787.21,312.08,834.18,351.55
117,4.68,0,car,0.6339,702.71,259.82,734.91,284.77
117,4.68,5,car,0.5977,784.78,311.4,832.56,349.8
117,4.68,6,car,0.5529,464.94,271.75,495.49,295.14
118,4.72,6,car,0.6875,464.17,272.2,495.62,295.6
118,4.72,0,car,0.5706,701.72,259.72,734.53,284.37
118,4.72,5,car,0.598,781.88,309.99,831.21,348.17
119,4.76,5,car,0.7269,783.19,308.86,828.75,346.48
119,4.76,6,car,0.6623,463.61,272.63,495.79,296.99
119,4.76,0,car,0.4111,701.65,258.33,732.7,284.48
120,4.8,5,car,0.7831,778.71,308.03,825.8,343.53
120,4.8,6,car,0.7203,462.02,273.4,495.85,298.29
120,4.8,0,car,0.4204,699.71,257.29,731.52,283.48
121,4.84,5,car,0.81,776.82,307.83,824.4,343.08
121,4.84,6,car,0.7303,461.26,274.34,495.77,300.27
121,4.84,0,car,0.3738,698.91,257.26,730.13,281.98
122,4.88,5,car,0.8183,776.34,306.09,820.66,341.94
122,4.88,6,car,0.6529,461.3,274.58,495.71,301.54
122,4.88,0,car,0.4975,698.06,257.37,728.74,281.51
123,4.92,5,car,0.7652,775.94,305.51,817.41,340.66
123,4.92,6,car,0.6534,460.46,275.04,495.4,302.12
123,4.92,0,car,0.4794,696.99,257.45,727.58,280.54
124,4.96,5,car,0.7193,773.01,303.45,816.24,339.48
124,4.96,6,car,0.6362,460.33,276.12,495.4,302.78
124,4.96,0,car,0.4954,696.16,256.98,726.77,279.9
125,5.0,5,car,0.7203,771.68,301.85,815.66,338.27
125,5.0,0,car,0.5519,695.65,257.45,726.31,279.53
125,5.0,6,car,0.5538,460.23,277.68,495.02,303.66
126,5.04,5,car,0.6689,769.25,301.08,814.28,337.15
126,5.04,0,car,0.5145,695.73,256.29,725.51,279.03
126,5.04,6,car,0.5686,460.38,279.03,495.13,303.76
127,5.08,0,car,0.4864,695.35,255.94,723.61,277.9
127,5.08,6,car,0.4976,460.53,279.12,495.21,303.26
128,5.12,5,car,0.6305,763.7,296.94,808.59,333.36
128,5.12,0,car,0.4255,694.96,255.07,722.27,277.11
128,5.12,6,car,0.5808,460.11,279.96,495.17,303.96
129,5.16,0,car,0.4062,694.33,254.24,722.32,276.87
129,5.16,5,car,0.4412,760.71,295.92,807.31,332.47
129,5.16,6,car,0.5618,459.68,280.41,494.73,304.63
130,5.2,0,car,0.5788,692.71,253.5,721.38,275.83
130,5.2,5,car,0.5404,761.18,296.04,805.82,331.54
130,5.2,6,car,0.4651,457.48,281.63,494.19,306.01
131,5.24,5,car,0.7215,759.76,295.94,803.46,329.11
131,5.24,0,car,0.5359,692.18,253.13,720.65,275.34
131,5.24,6,car,0.5651,456.94,281.91,493.92,306.61
132,5.28,5,car,0.7865,759.26,295.72,801.32,327.64
132,5.28,0,car,0.5205,688.76,251.59,720.44,276.35
132,5.28,6,car,0.5178,456.92,283.2,493.17,306.63
133,5.32,5,car,0.8124,757.93,295.0,800.03,327.28
133,5.32,0,car,0.4766,688.86,252.01,719.83,275.48
133,5.32,6,car,0.5227,456.95,283.83,493.49,306.77
134,5.36,5,car,0.8479,756.43,293.45,798.79,327.12
134,5.36,0,car,0.5102,688.94,251.3,719.16,274.5
134,5.36,6,car,0.5463,456.32,284.05,492.43,308.53
135,5.4,5,car,0.8374,755.87,292.75,797.26,327.0
135,5.4,0,car,0.4546,687.96,250.71,718.13,273.44
135,5.4,6,car,0.5298,455.98,283.89,491.19,309.97
136,5.44,5,car,0.7727,753.63,291.08,795.42,325.77
136,5.44,0,car,0.4225,686.95,250.02,717.02,273.26
136,5.44,6,car,0.4774,456.04,286.29,491.07,310.22
137,5.48,5,car,0.8117,753.29,290.63,793.82,323.56
137,5.48,0,car,0.3858,686.65,249.22,716.34,272.59
137,5.48,6,car,0.4667,455.79,287.4,489.55,311.19
138,5.52,5,car,0.8557,752.08,290.44,792.01,322.48
138,5.52,0,car,0.3889,686.02,247.87,716.12,270.49
138,5.52,6,car,0.4952,455.04,287.81,489.5,311.51
139,5.56,5,car,0.8598,751.13,290.19,790.72,321.3
139,5.56,0,car,0.354,685.69,247.97,714.88,270.16
139,5.56,6,car,0.5407,453.74,288.15,488.55,312.78
140,5.6,5,car,0.8663,749.67,289.34,786.74,320.32
140,5.6,6,car,0.7812,452.45,288.59,488.12,314.56
140,5.6,0,car,0.4488,684.51,247.8,713.4,269.99
141,5.64,5,car,0.8846,749.29,288.92,785.56,319.68
